[Script Info]
; This is an Advanced Sub Station Alpha v4+ script.
Title: 
ScriptType: v4.00+
Collisions: Normal
PlayDepth: 0
PlayResX: 1920
PlayResY: 1080

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,Adobe Arabic,80,&H00FFFFFF,&H0300FFFF,&H00000000,&H02000000,-1,0,0,0,100,100,0,0,1,2.0,1.9,2,10,10,40,1

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:02:37.32,0:02:39.20,Default,,0,0,0,,‫سبب انتصاري
Dialogue: 0,0:02:39.78,0:02:42.74,Default,,0,0,0,,‫كان بفضل تعلّمي كشف رائحة "خيط الثغرة".
Dialogue: 0,0:02:45.83,0:02:48.16,Default,,0,0,0,,‫حين أقاتل شخصًا ما
Dialogue: 0,0:02:48.25,0:02:51.58,Default,,0,0,0,,‫وأشم هذه الرائحة يمكنني عندها رؤية الخيط.
Dialogue: 0,0:02:54.79,0:02:58.26,Default,,0,0,0,,‫ذلك الخيط الواصل بين نصلي وثغرة الخصم
Dialogue: 0,0:02:58.34,0:03:00.84,Default,,0,0,0,,‫يصبح مشدودًا في اللحظة التي أراه فيها.
Dialogue: 0,0:03:07.89,0:03:10.52,Default,,0,0,0,,‫ينجذب نصلي نحوه بسرعة كبيرة
Dialogue: 0,0:03:10.60,0:03:12.31,Default,,0,0,0,,‫ثم أضرب الثغرة بقوة.
Dialogue: 0,0:03:33.67,0:03:35.13,Default,,0,0,0,,‫"أوروكوداكي"…
Dialogue: 0,0:03:38.42,0:03:43.68,Default,,0,0,0,,‫لم تكن لديّ النية\N‫لإرسالك إلى الاختيار النهائي.
Dialogue: 0,0:03:45.68,0:03:49.35,Default,,0,0,0,,‫لم أرد رؤية طفل آخر يموت.
Dialogue: 0,0:03:50.02,0:03:53.98,Default,,0,0,0,,‫كنت واثقًا من أنك لن تقدر\N‫على فلق هذه الصخرة ولكن…
Dialogue: 0,0:03:59.32,0:04:01.24,Default,,0,0,0,,‫أحسنت.
Dialogue: 0,0:04:01.82,0:04:04.53,Default,,0,0,0,,‫أنت يا "تانجيرو"
Dialogue: 0,0:04:04.61,0:04:06.32,Default,,0,0,0,,‫طفل رائع.
Dialogue: 0,0:04:14.12,0:04:17.84,Default,,0,0,0,,‫احرص على العودة حيًا من الاختيار النهائي.
Dialogue: 0,0:04:17.92,0:04:20.42,Default,,0,0,0,,‫سننتظرك أنا وأختك هنا.
Dialogue: 0,0:04:33.35,0:04:35.94,Default,,0,0,0,,‫ما المناسبة؟ ثمة الكثير.
Dialogue: 0,0:04:36.52,0:04:39.52,Default,,0,0,0,,‫لقد أكملت كل تدريبك لذا سنحتفل.
Dialogue: 0,0:04:39.61,0:04:41.82,Default,,0,0,0,,‫لا تخجل وتناول قدر ما تشاء.
Dialogue: 0,0:04:43.36,0:04:44.78,Default,,0,0,0,,‫شكرًا جزيلًا.
Dialogue: 0,0:04:49.83,0:04:50.79,Default,,0,0,0,,‫"تانجيرو"
Dialogue: 0,0:04:51.83,0:04:55.12,Default,,0,0,0,,‫لا يمكنني فعل المزيد لك.
Dialogue: 0,0:04:55.21,0:04:59.63,Default,,0,0,0,,‫من الآن فصاعدًا،\N‫ستمر بالكثير من الصعوبات والصراعات.
Dialogue: 0,0:04:59.71,0:05:02.21,Default,,0,0,0,,‫سيبدو تدريبك سهلًا مقارنة بها.
Dialogue: 0,0:05:03.05,0:05:05.34,Default,,0,0,0,,‫لذا حاليًا على الأقل
Dialogue: 0,0:05:05.43,0:05:09.30,Default,,0,0,0,,‫عليك أن ترتاح جيدًا من دون قلق.
Dialogue: 0,0:05:25.24,0:05:27.16,Default,,0,0,0,,‫يا "تانجيرو"…
Dialogue: 0,0:05:28.99,0:05:30.03,Default,,0,0,0,,‫نعم؟
Dialogue: 0,0:05:30.99,0:05:33.12,Default,,0,0,0,,‫هل استمتعت بذلك الحساء الساخن؟
Dialogue: 0,0:05:33.20,0:05:36.87,Default,,0,0,0,,‫نعم، لم أتناول\N‫وجبة كبيرة كهذه منذ وقت طويل.
Dialogue: 0,0:05:37.87,0:05:39.79,Default,,0,0,0,,‫فتى مثلك ينمو وصاحب شهية مفتوحة
Dialogue: 0,0:05:39.88,0:05:41.79,Default,,0,0,0,,‫يُفترض أن يصبح أقوى كلما أكل أكثر
Dialogue: 0,0:05:41.88,0:05:43.76,Default,,0,0,0,,‫وأن يصبح أضخم أيضًا.
Dialogue: 0,0:05:43.84,0:05:46.84,Default,,0,0,0,,‫لكن ذلك ينطبق على العفاريت أيضًا.
Dialogue: 0,0:05:47.88,0:05:49.22,Default,,0,0,0,,‫تذكر هذا.
Dialogue: 0,0:05:49.30,0:05:53.64,Default,,0,0,0,,‫بشكل أساسي، العفريت قوي\N‫بقدر عدد البشر الذين التهمهم.
Dialogue: 0,0:05:54.22,0:05:57.23,Default,,0,0,0,,‫أي كلما أكل أكثر ازدادت قوته؟
Dialogue: 0,0:05:58.19,0:05:59.44,Default,,0,0,0,,‫ذلك صحيح.
Dialogue: 0,0:05:59.52,0:06:02.48,Default,,0,0,0,,‫ثمة عفاريت يصبحون أقوى ويحوّلون أنفسهم
Dialogue: 0,0:06:02.57,0:06:05.61,Default,,0,0,0,,‫بل ويكتسبون قوى غريبة.
Dialogue: 0,0:06:11.45,0:06:14.58,Default,,0,0,0,,‫حين تصبح حاسة الشم لديك أكثر حدة
Dialogue: 0,0:06:14.66,0:06:17.33,Default,,0,0,0,,‫ستصبح قادرًا على تحديد\N‫عدد البشر الذين التهمهم العفريت.
Dialogue: 0,0:06:20.67,0:06:21.96,Default,,0,0,0,,‫ما هذا؟
Dialogue: 0,0:06:23.21,0:06:25.38,Default,,0,0,0,,‫يُدعى "قناع الحماية".
Dialogue: 0,0:06:25.46,0:06:30.22,Default,,0,0,0,,‫لقد شحنته بتعويذة لحمايتك من الأذى.
